,Unnamed: 0,PERSON,NORP,ORG,GPE,LABEL
157,157,True,True,False,True,"PERSON,PERSON,GPE,GPE,NORP"
158,158,False,False,False,True,"GPE,DATE"
159,159,False,False,False,False,
160,160,True,False,False,False,"PERSON,PERSON"
161,161,True,False,True,False,"ORG,ORG,PERSON,PERSON"
162,162,True,False,True,True,"ORG,GPE,GPE,FAC,PERSON"
163,163,False,False,False,True,GPE
164,164,True,False,False,False,"DATE,PERSON"
165,165,True,True,True,True,"PERSON,ORG,ORG,GPE,NORP,GPE"
166,166,True,False,False,False,"PERSON,DATE"
167,167,True,False,True,False,"PERSON,ORG"
168,168,False,False,False,True,GPE
169,169,False,False,False,False,"DATE,FAC"
170,170,True,False,False,False,"DATE,PERSON"
171,171,False,False,False,True,GPE
172,172,False,True,False,True,"GPE,NORP"
173,173,True,False,False,False,"PERSON,PERSON"
174,174,False,True,False,False,NORP
175,175,False,False,False,False,
176,176,False,False,True,True,"ORG,GPE"
177,177,False,False,False,False,
178,178,False,False,False,False,"CARDINAL,CARDINAL"
179,179,True,False,False,False,PERSON
180,180,False,True,False,False,"DATE,NORP"
181,181,False,False,False,True,GPE
182,182,False,False,False,False,
183,183,False,True,False,False,"NORP,DATE"
184,184,True,False,False,False,PERSON
185,185,False,False,False,True,GPE
186,186,False,False,False,False,
187,187,True,False,False,False,"DATE,DATE,PERSON"
188,188,True,True,True,False,"NORP,PERSON,ORG,ORG,ORG"
189,189,False,False,False,False,
190,190,False,False,False,False,
191,191,False,False,False,False,
192,192,False,False,True,False,ORG
193,193,False,False,True,True,"ORG,ORG,GPE"
194,194,False,False,False,True,GPE
195,195,False,False,False,True,"GPE,FAC,GPE"
196,196,False,False,False,False,
197,197,False,False,False,False,"CARDINAL,PRODUCT"
198,198,False,True,False,False,NORP
199,199,False,False,False,True,GPE
