,PERSON,NORP,ORG,GPE,LABEL
172,False,False,False,False,"GPE,NORP"
173,False,False,False,False,"PERSON,PERSON"
174,False,False,False,False,NORP
175,False,False,False,False,
176,False,False,False,False,"ORG,GPE"
177,False,False,False,False,
178,False,False,False,False,"CARDINAL,CARDINAL"
179,False,False,False,False,PERSON
180,False,False,False,False,"DATE,NORP"
181,False,False,False,False,GPE
182,False,False,False,False,
183,False,False,False,False,"NORP,DATE"
184,False,False,False,False,PERSON
185,False,False,False,False,GPE
186,False,False,False,False,
187,False,False,False,False,"DATE,DATE,PERSON"
188,False,False,False,False,"NORP,PERSON,ORG,ORG,ORG"
189,False,False,False,False,
190,False,False,False,False,
191,False,False,False,False,
192,False,False,False,False,ORG
193,False,False,False,False,"ORG,ORG,GPE"
194,False,False,False,False,GPE
195,False,False,False,False,"GPE,FAC,GPE"
196,False,False,False,False,
197,False,False,False,False,"CARDINAL,PRODUCT"
198,False,False,False,False,NORP
199,False,False,False,False,GPE
