Tone,Date,Newspaper
0.017871018,"September 18, 2014",CD
0.019292605,"September 18, 2014",CD
0.022494888,"September 18, 2014",CD
-0.021359223,"September 17, 2018",CD
-0.021207178,"September 16, 2015",CD
0.057233704,"September 16, 2015",CD
-0.009508716,"September 16, 2015",CD
0.004347826,"September 15, 2018",CD
0.003696858,"September 15, 2018",CD
0.005132592,"September 15, 2018",CD
-0.001312336,"September 15, 2017",CD
-0.020866774,"September 15, 2015",CD
0.01035503,"September 15, 2015",CD
-0.001818182,"September 15, 2014",CD
0.048309179,"September 15, 2014",CD
0.053191489,"September 15, 2014",CD
0.017621145,"September 15, 2014",CD
0.03442623,"September 15, 2014",CD
0.03902439,"September 15, 2014",CD
0.022494888,"September 15, 2014",CD
0.012640449,"September 14, 2019",CD
-0.019017433,"September 14, 2019",CD
-0.022427441,"September 14, 2018",CD
-0.007263923,"September 14, 2018",CD
0.081658291,"September 14, 2018",CD
-0.005488474,"September 14, 2018",CD
0.053811659,"September 14, 2016",CD
0.017621145,"September 14, 2014",CD
0.002185792,"September 13, 2018",CD
0.026356589,"September 13, 2018",CD
0.022494888,"September 13, 2014",CD
0.026200873,"September 12, 2019",CD
0.025773196,"September 12, 2019",CD
0.014084507,"September 12, 2018",CD
0.005128205,"September 12, 2018",CD
-0.03436019,"September 12, 2017",CD
0.029986962,"September 12, 2016",CD
0.022900763,"September 12, 2016",CD
-0.0208,"September 12, 2015",CD
-0.021207178,"September 12, 2015",CD
0.019323671,"September 11, 2019",CD
0.021653543,"September 11, 2017",CD
0.021696252,"September 11, 2017",CD
0.021956088,"September 11, 2017",CD
0.048309179,"September 11, 2014",CD
0.03442623,"September 11, 2014",CD
0.016520894,"September 10, 2019",CD
-0.056862745,"September 10, 2018",CD
0.035904901,"September 10, 2018",CD
0.057453416,"September 10, 2015",CD
0.051813472,"September 10, 2014",CD
0.038181818,"September 10, 2014",CD
0.021084337,"September 10, 2014",CD
0.03006012,"September 1, 2018",CD
-0.026785714,"September 1, 2018",CD
-0.009090909,"September 1, 2017",CD
-0.005847953,"September 1, 2017",CD
0.041322314,"September 1, 2015",CD
0.062330623,"September 1, 2014",CD
-0.018624642,"October 9, 2019",CD
0.002793296,"October 9, 2019",CD
0.003846154,"October 9, 2019",CD
0.016629712,"October 9, 2018",CD
-0.020504732,"October 9, 2015",CD
0.050058207,"October 9, 2015",CD
0.035476718,"October 9, 2015",CD
0.019417476,"October 8, 2016",CD
0.019157088,"October 8, 2016",CD
0.01459854,"October 8, 2015",CD
0.055201699,"October 8, 2015",CD
-0.003633061,"October 8, 2015",CD
0.017295597,"October 8, 2014",CD
0.017377567,"October 8, 2014",CD
0.028380634,"October 8, 2014",CD
0.000923361,"October 8, 2014",CD
0.011173184,"October 8, 2014",CD
0.000946074,"October 8, 2014",CD
0.046753247,"October 7, 2015",CD
0.033373063,"October 7, 2015",CD
0.068106312,"October 7, 2015",CD
-0.014619883,"October 6, 2015",CD
0.015004413,"October 6, 2015",CD
0.059513075,"October 5, 2015",CD
-0.007054674,"October 4, 2019",CD
0.018672199,"October 4, 2018",CD
0.008896797,"October 31, 2017",CD
0.005780347,"October 31, 2017",CD
0.057578323,"October 31, 2015",CD
0.019672131,"October 31, 2013",CD
0.032175032,"October 30, 2018",CD
0.053839365,"October 30, 2018",CD
-0.016877637,"October 30, 2018",CD
0.007005254,"October 30, 2017",CD
0.001331558,"October 30, 2014",CD
0.001414427,"October 30, 2014",CD
-0.035294118,"October 3, 2018",CD
0.020253165,"October 3, 2018",CD
0.016643551,"October 29, 2019",CD
0.0243309,"October 29, 2019",CD
0.014893617,"October 29, 2016",CD
0.016042781,"October 29, 2014",CD
-0.02173913,"October 28, 2017",CD
-0.013651877,"October 28, 2015",CD
-0.00462963,"October 28, 2015",CD
0.009760426,"October 27, 2018",CD
0.004444444,"October 27, 2018",CD
-0.016877637,"October 27, 2018",CD
-0.006944444,"October 26, 2018",CD
0.004683841,"October 26, 2018",CD
0.053839365,"October 26, 2018",CD
-0.025157233,"October 26, 2018",CD
0.009090909,"October 26, 2016",CD
0.003875969,"October 25, 2018",CD
